DATASET,RFPCT,PSt,RFDTBR,EBRJ48,TREMLC,VBS,VBS_value,SBS_RFPCT,SBS_PSt,SBS_RFDTBR,SBS_EBRJ48,SBS_TREMLC,AS-R-MO,AS-R-MO_algo_name,AS-R-SO,AS-R-SO_algo_name,AS-C-SO,AS-C-SO_algo_name,AS-PR-MO,AS-PR-MO_algo_name,AS-PR-SO,AS-PR-SO_algo_name,AS-PC-MO,AS-PC-MO_algo_name,AS-PC-SO,AS-PC-SO_algo_name,AS-CS-PC-SO,AS-CS-PC-SO_algo_name
OHSUMED,0.894469189658727,0.895093098822362,0.889820549945982,0.8822702228442025,0.8773058503636302,['PSt'],0.895093098822362,0.0006239091636349725,0.0,0.005272548876379957,0.012822875978159454,0.017787248458731808,0.0006239091636349725,RFPCT,0.012822875978159454,EBRJ48,0.005272548876379957,RFDTBR,0.0006239091636349725,RFPCT,0.005272548876379957,RFDTBR,0.005272548876379957,RFDTBR,0.005272548876379957,RFDTBR,0.005272548876379957,RFDTBR
PLANTGO,0.9729917040861866,0.971959993475217,0.9609245816231308,0.979154229144086,0.9653101797378992,['EBRJ48'],0.979154229144086,0.006162525057899382,0.007194235668869009,0.01822964752095524,0.0,0.013844049406186776,0.006162525057899382,RFPCT,0.0,EBRJ48,0.006162525057899382,RFPCT,0.006162525057899382,RFPCT,0.007194235668869009,PSt,0.006162525057899382,RFPCT,0.006162525057899382,RFPCT,0.006162525057899382,RFPCT
PLANTPSEAAC,0.8321536834801272,0.838908241513021,0.8177349894800295,0.7741712987381831,0.8263269197807739,['PSt'],0.838908241513021,0.00675455803289382,0.0,0.021173252032991474,0.06473694277483788,0.01258132173224713,0.00675455803289382,RFPCT,0.00675455803289382,RFPCT,0.00675455803289382,RFPCT,0.00675455803289382,RFPCT,0.00675455803289382,RFPCT,0.00675455803289382,RFPCT,0.00675455803289382,RFPCT,0.00675455803289382,RFPCT
PROTEINS_HUMAN,0.9398461528554746,0.9031908042807726,0.8898428754601118,0.9756285794357136,0.9811215034598588,['TREMLC'],0.9811215034598588,0.04127535060438425,0.07793069917908624,0.09127862799974706,0.0054929240241452515,0.0,0.0,TREMLC,0.0,TREMLC,0.09127862799974706,RFDTBR,0.0,TREMLC,0.0,TREMLC,0.0,TREMLC,0.0,TREMLC,0.0,TREMLC
PROTEINS_PLANT,0.9166741222698352,0.8628037153855198,0.8676692959272873,0.9584283735219994,0.9802478286873972,['TREMLC'],0.9802478286873972,0.06357370641756199,0.11744411330187743,0.11257853276010998,0.02181945516539785,0.0,0.0,TREMLC,0.0,TREMLC,0.0,TREMLC,0.0,TREMLC,0.0,TREMLC,0.0,TREMLC,0.0,TREMLC,0.0,TREMLC
PROTEINS_VIRUS,0.9126788465771516,0.8151441778560422,0.8518159806295399,0.945608628659476,0.9773057451023552,['TREMLC'],0.9773057451023552,0.06462689852520365,0.16216156724631303,0.12548976447281535,0.0316971164428792,0.0,0.0,TREMLC,0.0,TREMLC,0.0,TREMLC,0.0,TREMLC,0.0,TREMLC,0.0,TREMLC,0.0,TREMLC,0.0,TREMLC
REUTERSK500,0.9222431713853974,0.9586885973455888,0.935052638541784,0.9364791679746014,0.7723871796427617,['PSt'],0.9586885973455888,0.0364454259601914,0.0,0.023635958803804757,0.022209429370987355,0.18630141770282704,0.023635958803804757,RFDTBR,0.0364454259601914,RFPCT,0.023635958803804757,RFDTBR,0.023635958803804757,RFDTBR,0.030040692381998024,"RFPCT,RFDTBR",0.023635958803804757,RFDTBR,0.023635958803804757,RFDTBR,0.023635958803804757,RFDTBR
SCENE,0.9552034945101352,0.9582482415276604,0.9521489529996304,0.930360845617346,0.9552102991052576,['PSt'],0.9582482415276604,0.003044747017525218,0.0,0.006099288528029989,0.027887395910314416,0.0030379424224028506,0.003044747017525218,RFPCT,0.003044747017525218,RFPCT,0.003044747017525218,RFPCT,0.003044747017525218,RFPCT,0.0,PSt,0.003044747017525218,RFPCT,0.003044747017525218,RFPCT,0.003044747017525218,RFPCT
SLASHDOT,0.8900420959576201,0.9161407728456212,0.9050823225824194,0.8818071444589218,0.7777902724810395,['PSt'],0.9161407728456212,0.02609867688800116,0.0,0.011058450263201847,0.0343336283866994,0.13835050036458174,0.0,PSt,0.0,PSt,0.0,PSt,0.02609867688800116,RFPCT,0.0,PSt,0.02609867688800116,RFPCT,0.02609867688800116,RFPCT,0.01304933844400058,"RFPCT,PSt"
STACKEX_CHESS,0.8530120679986039,0.7972157387951648,0.8517476381511434,0.8623463863201265,0.8522050220744537,['EBRJ48'],0.8623463863201265,0.00933431832152265,0.06513064752496167,0.010598748168983096,0.0,0.010141364245672801,0.010598748168983096,RFDTBR,0.0,EBRJ48,0.0,EBRJ48,0.0,EBRJ48,0.0,EBRJ48,0.0,EBRJ48,0.0,EBRJ48,0.0,EBRJ48
STACKEX_CS,0.8872609250649881,0.8801525126925712,0.8884041320907597,0.9050664609143244,0.7340530903488796,['EBRJ48'],0.9050664609143244,0.017805535849336307,0.02491394822175319,0.016662328823564665,0.0,0.17101337056544486,0.0,EBRJ48,0.0,EBRJ48,0.0,EBRJ48,0.0,EBRJ48,0.0,EBRJ48,0.0,EBRJ48,0.0,EBRJ48,0.0,EBRJ48
STACKEX_PHILOSOPHY,0.8280913597295454,0.8200327114977084,0.8337933441632357,0.866948431475207,0.6695639804277542,['EBRJ48'],0.866948431475207,0.03885707174566155,0.04691571997749855,0.033155087311971254,0.0,0.19738445104745272,0.033155087311971254,RFDTBR,0.0,EBRJ48,0.0,EBRJ48,0.0,EBRJ48,0.0,EBRJ48,0.0,EBRJ48,0.0,EBRJ48,0.0,EBRJ48
TMC2007_500,0.967492332158451,0.960950588994824,0.9740406254530352,0.9635213044349092,0.9631477790718096,['RFDTBR'],0.9740406254530352,0.006548293294584173,0.013090036458211163,0.0,0.010519321018125916,0.010892846381225563,0.006548293294584173,RFPCT,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.006548293294584173,RFPCT,0.0,RFDTBR
VIRUSGO,0.9887887887887888,0.9793793793793794,0.9833633633633634,0.9857257257257256,0.9876476476476476,['RFPCT'],0.9887887887887888,0.0,0.009409409409409486,0.005425425425425456,0.003063063063063254,0.0011411411411412775,0.0,RFPCT,0.005425425425425456,RFDTBR,0.0,RFPCT,0.0,RFPCT,0.0,RFPCT,0.0,RFPCT,0.0,RFPCT,0.0,RFPCT
VIRUS_PSEAAC,0.8214214214214215,0.8198998998998999,0.8056456456456457,0.7725925925925926,0.7969769769769771,['RFPCT'],0.8214214214214215,0.0,0.0015215215215216293,0.015775775775775824,0.048828828828828885,0.02444444444444438,0.0,RFPCT,0.02444444444444438,TREMLC,0.0,RFPCT,0.0,RFPCT,0.0,RFPCT,0.0,RFPCT,0.0,RFPCT,0.0,RFPCT
WATER_QUALITY,0.773785096756882,0.7234947454853824,0.7749195602597335,0.7461859179406846,0.7672322406138841,['RFDTBR'],0.7749195602597335,0.0011344635028515127,0.051424814774351124,0.0,0.028733642319048958,0.007687319645849455,0.0011344635028515127,RFPCT,0.0,RFDTBR,0.0011344635028515127,RFPCT,0.0,RFDTBR,0.0011344635028515127,RFPCT,0.0011344635028515127,RFPCT,0.0011344635028515127,RFPCT,0.0011344635028515127,RFPCT
YEAST,0.8517569367423455,0.8431117894740068,0.852168778506345,0.8269791445542011,0.8492539235208183,['RFDTBR'],0.852168778506345,0.00041184176399944317,0.009056989032338203,0.0,0.02518963395214391,0.0029148549855266825,0.00041184176399944317,RFPCT,0.0,RFDTBR,0.00041184176399944317,RFPCT,0.00041184176399944317,RFPCT,0.00041184176399944317,RFPCT,0.00041184176399944317,RFPCT,0.00041184176399944317,RFPCT,0.00041184176399944317,RFPCT
YELP,0.9330521015010984,0.8743480221977475,0.9425364292067206,0.9178886769579692,0.9365064409145486,['RFDTBR'],0.9425364292067206,0.009484327705622242,0.0681884070089731,0.0,0.024647752248751487,0.0060299882921720505,0.0,RFDTBR,0.024647752248751487,EBRJ48,0.0,RFDTBR,0.009484327705622242,RFPCT,0.0,RFDTBR,0.009484327705622242,RFPCT,0.009484327705622242,RFPCT,0.009484327705622242,RFPCT
