DATASET,RFDTBR,RFPCT,Ada300,CLR,PSt,VBS,VBS_value,SBS_RFDTBR,SBS_RFPCT,SBS_Ada300,SBS_CLR,SBS_PSt,AS-R-MO,AS-R-MO_algo_name,AS-R-SO,AS-R-SO_algo_name,AS-C-SO,AS-C-SO_algo_name,AS-PR-MO,AS-PR-MO_algo_name,AS-PR-SO,AS-PR-SO_algo_name,AS-PC-MO,AS-PC-MO_algo_name,AS-PC-SO,AS-PC-SO_algo_name,AS-CS-PC-SO,AS-CS-PC-SO_algo_name
PLANTGO,0.7571428571428571,0.7970802919708029,0.7831149927219795,0.7652916073968706,0.7496382054992764,['RFPCT'],0.7970802919708029,0.03993743482794576,0.0,0.013965299248823393,0.03178868457393225,0.04744208647152648,0.0,RFPCT,0.0,RFPCT,0.04744208647152648,PSt,0.0,RFPCT,0.04744208647152648,PSt,0.04744208647152648,PSt,0.04744208647152648,PSt,0.04744208647152648,PSt
PLANTPSEAAC,0.3780821917808218,0.3641231593038822,0.2719665271966527,0.3291139240506329,0.4167872648335745,['PSt'],0.4167872648335745,0.03870507305275267,0.05266410552969225,0.14482073763692177,0.08767334078294159,0.0,0.05266410552969225,RFPCT,0.14482073763692177,Ada300,0.0,PSt,0.05266410552969225,RFPCT,0.03870507305275267,RFDTBR,0.05266410552969225,RFPCT,0.03045639286081503,"RFPCT,RFDTBR,PSt",0.03045639286081503,"RFPCT,RFDTBR,PSt"
PROTEINS_HUMAN,0.5940482874789444,0.7046186895810955,0.8562532433834976,0.5738476011288806,0.5894039735099338,['Ada300'],0.8562532433834976,0.26220495590455317,0.1516345538024021,0.0,0.28240564225461706,0.26684926987356383,0.0,Ada300,0.0,Ada300,0.26220495590455317,RFDTBR,0.0,Ada300,0.0,Ada300,0.1516345538024021,RFPCT,0.13794650323565183,"RFPCT,RFDTBR,Ada300",0.13794650323565183,"RFPCT,RFDTBR,Ada300"
PROTEINS_PLANT,0.4765217391304348,0.6259314456035767,0.8820678513731826,0.4725415070242657,0.4677419354838709,['Ada300'],0.8820678513731826,0.4055461122427478,0.25613640576960583,0.0,0.4095263443489169,0.41432591588931167,0.0,Ada300,0.0,Ada300,0.0,Ada300,0.0,Ada300,0.0,Ada300,0.0,Ada300,0.0,Ada300,0.0,Ada300
PROTEINS_VIRUS,0.575,0.6533333333333333,0.8859060402684563,0.4883720930232557,0.44,['Ada300'],0.8859060402684563,0.31090604026845636,0.232572706935123,0.0,0.39753394724520064,0.4459060402684563,0.0,Ada300,0.0,Ada300,0.0,Ada300,0.0,Ada300,0.0,Ada300,0.0,Ada300,0.0,Ada300,0.0,Ada300
REUTERSK500,0.5207165322029262,0.5144105996448574,0.460431654676259,0.4657429769925003,0.5212069456305152,['PSt'],0.5212069456305152,0.0004904134275889316,0.0067963459856578146,0.060775290954256156,0.05546396863801489,0.0,0.0004904134275889316,RFDTBR,0.0067963459856578146,RFPCT,0.0004904134275889316,RFDTBR,0.0004904134275889316,RFDTBR,0.0004904134275889316,RFDTBR,0.0004904134275889316,RFDTBR,0.0004904134275889316,RFDTBR,0.0004904134275889316,RFDTBR
SCENE,0.7602114368092263,0.7615457115928369,0.7594264471587893,0.792364990689013,0.7790189412336085,['CLR'],0.792364990689013,0.03215355387978669,0.0308192790961761,0.03293854353022374,0.0,0.013346049455404518,0.013346049455404518,PSt,0.013346049455404518,PSt,0.013346049455404518,PSt,0.0308192790961761,RFPCT,0.025439627477122473,"RFDTBR,PSt,RFPCT",0.013346049455404518,PSt,0.013346049455404518,PSt,0.013346049455404518,PSt
SLASHDOT,0.5774011299435028,0.5331781140861467,0.514839491217444,0.4719848053181386,0.5388919977616116,['RFDTBR'],0.5774011299435028,0.0,0.04422301585735611,0.0625616387260588,0.10541632462536421,0.038509132181891226,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.038509132181891226,PSt,0.038509132181891226,PSt
STACKEX_CHESS,0.3520933424845573,0.3219271831371475,0.3244665302543116,0.2168453292496172,0.3143211407315561,['RFDTBR'],0.3520933424845573,0.0,0.030166159347409793,0.027626812230245712,0.13524801323494012,0.03777220175300122,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR
STACKEX_CS,0.4098282189012391,0.3956485355648535,0.3217705894871249,0.2238413878562577,0.4010526315789473,['RFDTBR'],0.4098282189012391,0.0,0.014179683336385585,0.08805762941411421,0.1859868310449814,0.008775587322291778,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR
STACKEX_PHILOSOPHY,0.3434725658564983,0.2918683446272991,0.2734225621414913,0.0991872158699545,0.3028626745954916,['RFDTBR'],0.3434725658564983,0.0,0.05160422122919922,0.07005000371500703,0.24428534998654383,0.040609891261006725,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR
TMC2007_500,0.7922632103688934,0.754113961695547,0.5509368145662112,0.732056475400165,0.7079694752576507,['RFDTBR'],0.7922632103688934,0.0,0.03814924867334635,0.24132639580268211,0.060206734968728304,0.08429373511124261,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.03814924867334635,RFPCT,0.03814924867334635,RFPCT
VIRUSGO,0.8571428571428572,0.8944099378881988,0.8333333333333333,0.7487179487179488,0.8322981366459627,['RFPCT'],0.8944099378881988,0.037267080745341574,0.0,0.06107660455486552,0.14569198917024995,0.06211180124223603,0.06211180124223603,PSt,0.06211180124223603,PSt,0.06211180124223603,PSt,0.06211180124223603,PSt,0.06211180124223603,PSt,0.06211180124223603,PSt,0.06211180124223603,PSt,0.06211180124223603,PSt
VIRUS_PSEAAC,0.467065868263473,0.4852071005917159,0.4767441860465116,0.4590163934426229,0.5217391304347827,['PSt'],0.5217391304347827,0.05467326217130969,0.036532029843066804,0.04499494438827112,0.0627227369921598,0.0,0.04499494438827112,Ada300,0.04499494438827112,Ada300,0.036532029843066804,RFPCT,0.036532029843066804,RFPCT,0.036532029843066804,RFPCT,0.036532029843066804,RFPCT,0.036532029843066804,RFPCT,0.036532029843066804,RFPCT
WATER_QUALITY,0.6264602010323281,0.6314655172413792,0.5236923076923077,0.5845464725643896,0.5659418243434059,['RFPCT'],0.6314655172413792,0.005005316209051092,0.0,0.10777320954907155,0.046919044676989596,0.06552369289797333,0.0,RFPCT,0.005005316209051092,RFDTBR,0.0,RFPCT,0.0,RFPCT,0.0,RFPCT,0.0,RFPCT,0.0,RFPCT,0.0,RFPCT
YEAST,0.675064838829196,0.6822519083969466,0.598270126413839,0.6251115075825155,0.6678885630498533,['RFPCT'],0.6822519083969466,0.007187069567750615,0.0,0.08398178198310757,0.05714040081443106,0.01436334534709327,0.0,RFPCT,0.007187069567750615,RFDTBR,0.007187069567750615,RFDTBR,0.007187069567750615,RFDTBR,0.007187069567750615,RFDTBR,0.007187069567750615,RFDTBR,0.007187069567750615,RFDTBR,0.007187069567750615,RFDTBR
YELP,0.8156396517079706,0.8021183591123067,0.6749614395886888,0.6880643340857788,0.711195054945055,['RFDTBR'],0.8156396517079706,0.0,0.013521292595663925,0.14067821211928178,0.12757531762219176,0.10444459676291562,0.0,RFDTBR,0.0,RFDTBR,0.013521292595663925,RFPCT,0.013521292595663925,RFPCT,0.0,RFDTBR,0.013521292595663925,RFPCT,0.0,RFDTBR,0.0,RFDTBR
