DATASET,RFPCT_vs_PSt,RFPCT_vs_PSt_cost,RFPCT_vs_RFDTBR,RFPCT_vs_RFDTBR_cost,RFPCT_vs_EBRJ48,RFPCT_vs_EBRJ48_cost,RFPCT_vs_TREMLC,RFPCT_vs_TREMLC_cost,PSt_vs_RFDTBR,PSt_vs_RFDTBR_cost,PSt_vs_EBRJ48,PSt_vs_EBRJ48_cost,PSt_vs_TREMLC,PSt_vs_TREMLC_cost,RFDTBR_vs_EBRJ48,RFDTBR_vs_EBRJ48_cost,RFDTBR_vs_TREMLC,RFDTBR_vs_TREMLC_cost,EBRJ48_vs_TREMLC,EBRJ48_vs_TREMLC_cost
GPOSITIVEGO,0,0.004502109656912334,0,0.0030372272434193714,0,0.005316561655147378,0,0.24305170639005458,1,0.0014648824134929628,0,0.000814451998235044,0,0.23854959673314224,0,0.0022793344117280068,0,0.2400144791466352,0,0.2377351447349072
GPOSITIVEPSEAAC,1,0.017035620963089415,0,0.011260930058934693,0,0.032623327262649715,0,0.2447937287196137,0,0.028296551022024108,0,0.04965894822573913,0,0.2618293496827031,0,0.021362397203715022,0,0.233532798660679,0,0.21217040145696398
HUMANGO,0,0.0037850448666028047,0,0.005486610196674291,0,0.004363833607465062,0,0.003914908491245095,0,0.0017015653300714861,0,0.0005787887408622572,0,0.00012986362464229018,1,0.001122776589209229,1,0.001571701705429196,1,0.000448925116219967
HUMANPSEAAC,0,0.006419645155002374,0,0.019167231274896723,0,0.04374104348812913,0,0.017867731403384934,0,0.01274758611989435,0,0.037321398333126754,0,0.01144808624838256,0,0.024573812213232404,1,0.001299499871511789,1,0.025873312084744193
LANGLOG,0,0.01796248888888896,1,0.00032894814814810047,0,0.03594001481481479,0,0.14433838518518516,1,0.01829143703703706,0,0.01797752592592583,0,0.1263758962962962,0,0.03626896296296289,0,0.14466733333333326,0,0.10839837037037037
MEDICAL,0,0.02547947253127325,1,0.0004140222467750032,0,0.020724614894563786,0,0.037602304943061604,1,0.025893494778048254,1,0.004754857636709464,0,0.012122832411788353,0,0.02113863714133879,0,0.03801632718983661,0,0.016877690048497818
NG20,1,0.0020467206965602003,0,0.0021492565116452145,0,0.02226063588728433,0,0.024716859848099126,0,0.004195977208205415,0,0.02430735658384453,0,0.026763580544659327,0,0.020111379375639116,0,0.022567603336453912,0,0.002456223960814796
OHSUMED,1,0.0006239091636349725,0,0.004648639712744984,0,0.012198966814524481,0,0.017163339295096836,0,0.005272548876379957,0,0.012822875978159454,0,0.017787248458731808,0,0.007550327101779497,0,0.012514699582351851,0,0.004964372480572354
PLANTGO,0,0.0010317106109696272,0,0.012067122463055857,1,0.006162525057899382,0,0.007681524348287394,0,0.01103541185208623,1,0.007194235668869009,0,0.006649813737317767,1,0.01822964752095524,1,0.004385598114768463,0,0.013844049406186776
PLANTPSEAAC,1,0.00675455803289382,0,0.014418694000097654,0,0.05798238474194406,0,0.00582676369935331,0,0.021173252032991474,0,0.06473694277483788,0,0.01258132173224713,0,0.043563690741846406,1,0.008591930300744344,1,0.05215562104259075
PROTEINS_HUMAN,0,0.036655348574701985,0,0.05000327739536281,1,0.035782426580239,1,0.04127535060438425,0,0.013347928820660826,1,0.07243777515494099,1,0.07793069917908624,1,0.08578570397560181,1,0.09127862799974706,1,0.0054929240241452515
PROTEINS_PLANT,0,0.053870406884315436,0,0.04900482634254799,1,0.04175425125216414,1,0.06357370641756199,1,0.004865580541767445,1,0.09562465813647958,1,0.11744411330187743,1,0.09075907759471213,1,0.11257853276010998,1,0.02181945516539785
PROTEINS_VIRUS,0,0.09753466872110939,0,0.0608628659476117,1,0.032929782082324444,1,0.06462689852520365,1,0.036671802773497686,1,0.13046445080343383,1,0.16216156724631303,1,0.09379264802993614,1,0.12548976447281535,1,0.0316971164428792
REUTERSK500,1,0.0364454259601914,1,0.012809467156386645,1,0.014235996589204047,0,0.14985599174263564,0,0.023635958803804757,0,0.022209429370987355,0,0.18630141770282704,1,0.0014265294328174027,0,0.16266545889902229,0,0.1640919883318397
SCENE,1,0.003044747017525218,0,0.0030545415105047713,0,0.0248426488927892,1,6.804595122367196e-06,0,0.006099288528029989,0,0.027887395910314416,0,0.0030379424224028506,0,0.021788107382284427,1,0.0030613461056271385,1,0.024849453487911566
SLASHDOT,1,0.02609867688800116,1,0.015040226624799313,0,0.00823495149869824,0,0.11225182347658058,0,0.011058450263201847,0,0.0343336283866994,0,0.13835050036458174,0,0.023275178123497553,0,0.1272920501013799,0,0.10401687197788234
STACKEX_CHESS,0,0.05579632920343902,0,0.0012644298474604465,1,0.00933431832152265,0,0.0008070459241501515,1,0.054531899355978575,1,0.06513064752496167,1,0.05498928327928887,1,0.010598748168983096,1,0.000457383923310295,0,0.010141364245672801
STACKEX_CS,0,0.0071084123724168835,1,0.001143207025771642,1,0.017805535849336307,0,0.15320783471610855,1,0.008251619398188526,1,0.02491394822175319,0,0.14609942234369167,1,0.016662328823564665,0,0.1543510417418802,0,0.17101337056544486
STACKEX_PHILOSOPHY,0,0.008058648231836996,1,0.005701984433690299,1,0.03885707174566155,0,0.15852737930179117,1,0.013760632665527295,1,0.04691571997749855,0,0.15046873106995418,1,0.033155087311971254,0,0.16422936373548147,0,0.19738445104745272
TMC2007_500,0,0.00654174316362699,1,0.006548293294584173,0,0.003971027723541742,0,0.0043445530866413895,1,0.013090036458211163,1,0.002570715440085247,1,0.0021971900769856,0,0.010519321018125916,0,0.010892846381225563,0,0.0003735253630996471
VIRUSGO,0,0.009409409409409486,0,0.005425425425425456,0,0.003063063063063254,0,0.0011411411411412775,1,0.00398398398398403,1,0.006346346346346232,1,0.008268268268268208,1,0.0023623623623622025,1,0.004284284284284179,1,0.0019219219219219763
VIRUS_PSEAAC,0,0.0015215215215216293,0,0.015775775775775824,0,0.048828828828828885,0,0.02444444444444438,0,0.014254254254254195,0,0.047307307307307256,0,0.02292292292292275,0,0.03305305305305306,0,0.008668668668668555,1,0.024384384384384505
WATER_QUALITY,0,0.05029035127149961,1,0.0011344635028515127,0,0.027599178816197445,0,0.006552856142997943,1,0.051424814774351124,1,0.022691172455302167,1,0.04373749512850167,0,0.028733642319048958,0,0.007687319645849455,1,0.021046322673199502
YEAST,0,0.00864514726833876,1,0.00041184176399944317,0,0.024777792188144465,0,0.0025030132215272394,1,0.009056989032338203,0,0.016132644919805705,1,0.00614213404681152,0,0.02518963395214391,0,0.0029148549855266825,1,0.022274778966617226
YELP,0,0.058704079303350865,1,0.009484327705622242,0,0.015163424543129245,1,0.0034543394134501915,1,0.0681884070089731,1,0.04354065476022162,1,0.062158418716801056,0,0.024647752248751487,0,0.0060299882921720505,1,0.018617763956579436
