fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
29,"[0.00138403 0.00094897 0.00123344 0.00213625 0.00135361 0.0013181
 0.00093012 0.00062101 0.00264699 0.0026682 ]","[6.95343384e-05 5.79394948e-04 2.30938174e-04 5.16030333e-03
 2.47492645e-04 4.70311333e-05 4.03180882e-03 7.87474162e-05
 2.28145960e-03 3.20793114e-03]","[0.01588313 0.0069842  0.01007503 0.02465434 0.01419815 0.01399906
 0.00606406 0.00491531 0.0254349  0.02703629]","[1.63787143e-03 2.55739806e-04 3.28012065e-06 8.01874231e-03
 5.99209563e-04 1.78774508e-03 2.40853291e-03 3.16945998e-04
 5.41042094e-03 8.34638298e-03]"
30,"[0.00129844 0.00099512 0.00125879 0.0021234  0.00125848 0.00130179
 0.00087786 0.0006131  0.00254173 0.00266247]","[7.77082090e-04 8.03968297e-05 1.28529578e-03 8.37501490e-04
 3.57579184e-04 6.35979119e-05 1.13087450e-06 7.22781402e-04
 3.98928322e-04 4.77675061e-05]","[0.01592408 0.00699035 0.01004207 0.02485469 0.01421283 0.01401143
 0.00612419 0.00488438 0.02556945 0.02721587]","[1.58202702e-07 9.42025315e-06 1.32173166e-03 5.05358555e-06
 1.20200205e-05 1.29296918e-03 3.42350316e-06 1.55432043e-03
 2.82732670e-05 1.16332903e-03]"
31,"[0.00139412 0.00099372 0.00130916 0.00217971 0.00133562 0.00135499
 0.00088806 0.00059822 0.00255312 0.00268035]","[3.16029707e-06 9.16607984e-04 1.43100060e-04 3.00389267e-04
 8.12125287e-04 1.03728548e-04 2.41927512e-04 3.35369290e-04
 1.67541772e-04 2.88293596e-05]","[0.01591247 0.0069892  0.01006121 0.02484815 0.01420816 0.01404365
 0.0060884  0.00491674 0.02555602 0.02720514]","[4.64584045e-04 5.56097349e-05 5.56148020e-04 2.66522152e-04
 1.98725924e-04 4.11513268e-06 1.43487303e-03 2.60034887e-04
 5.65616804e-04 1.59267216e-03]"
32,"[0.00134666 0.00096756 0.00128154 0.00205442 0.00129348 0.00128269
 0.00088754 0.0005986  0.00248659 0.00256592]","[8.35932886e-06 1.73787464e-04 1.92198244e-03 8.38786249e-05
 2.58376619e-04 2.18384904e-03 1.45197146e-04 9.39886774e-04
 1.61951508e-05 1.20283369e-03]","[0.01592133 0.00698315 0.01007234 0.02484912 0.01421199 0.0140327
 0.00610792 0.00490393 0.02554402 0.02724444]","[1.10054077e-04 2.97474342e-04 1.11119198e-04 2.27597920e-04
 4.56540531e-05 4.42343986e-04 6.54183696e-04 7.72214828e-04
 1.04547419e-03 2.06573856e-05]"
33,"[0.00134559 0.00094233 0.00120954 0.00211819 0.00133159 0.0013248
 0.00092704 0.00057907 0.00259017 0.00262429]","[6.74213313e-03 4.86646409e-03 6.97095697e-03 6.00557596e-03
 1.52533538e-04 1.90927048e-06 2.12967683e-05 1.88573603e-04
 5.98395802e-05 3.59592801e-05]","[0.01578085 0.00684239 0.00987489 0.02479172 0.01421309 0.01403899
 0.00610807 0.00491933 0.02555226 0.02720643]","[5.72927856e-03 5.92785030e-03 8.00884824e-03 2.52358426e-03
 1.69139406e-06 1.90444708e-04 6.48044034e-04 1.56240863e-04
 7.15950165e-04 1.54110260e-03]"
34,"[0.00132892 0.00090826 0.00125452 0.00215738 0.00132024 0.001342
 0.00086281 0.00054118 0.00254014 0.00261046]","[1.41735081e-05 8.70882002e-03 1.76797250e-04 7.18414679e-06
 8.02032851e-03 2.91087435e-04 1.17602338e-06 1.13673066e-02
 8.21574247e-03 2.55259370e-04]","[0.01574746 0.00687341 0.00998484 0.02474108 0.01363161 0.0140294
 0.00611738 0.00451009 0.02510836 0.0272436 ]","[7.06486954e-03 4.68715833e-03 3.61082090e-03 4.54938096e-03
 2.32610091e-02 5.74209638e-04 2.75682165e-04 1.65258561e-02
 1.84720509e-02 5.41547708e-05]"
35,"[0.00109832 0.00082722 0.00093957 0.00209569 0.00130599 0.00132278
 0.00081823 0.00056258 0.00255501 0.00250971]","[0.0424936  0.0282448  0.08283891 0.01390823 0.00144992 0.00667125
 0.0077804  0.0143414  0.00251289 0.02886069]","[0.01520977 0.00655073 0.00825794 0.02468864 0.01418002 0.01379089
 0.00593284 0.00445427 0.02550484 0.02636062]","[0.02857262 0.01759423 0.07268691 0.00664671 0.00132431 0.01011447
 0.00765748 0.01875855 0.00261283 0.03537323]"
36,"[0.00119241 0.00087047 0.0010226  0.00209176 0.00128495 0.00129372
 0.00073903 0.00053156 0.00245464 0.00237492]","[0.05837102 0.02472178 0.03877306 0.00539479 0.00711819 0.00199739
 0.028275   0.00157428 0.00701948 0.01524225]","[0.01499933 0.00668852 0.00994171 0.02471853 0.01404336 0.01368807
 0.00577324 0.00488925 0.0255376  0.02724494]","[3.69900193e-02 1.20826004e-02 5.33628034e-03 5.45114830e-03
 6.79091577e-03 1.42272525e-02 1.40413027e-02 1.35947315e-03
 1.30241522e-03 6.11592559e-07]"
37,"[0.00130605 0.00097088 0.00119136 0.00208405 0.00135172 0.001319
 0.00084682 0.000547   0.00255304 0.00246053]","[0.00086762 0.00248832 0.01412905 0.00028103 0.0062946  0.0079942
 0.00213624 0.02847614 0.00109687 0.01839541]","[0.01585411 0.00687667 0.00976356 0.02485141 0.01385068 0.01395753
 0.00608174 0.00412098 0.02541349 0.02699508]","[0.00279889 0.00455675 0.01246215 0.00013592 0.01449815 0.00344915
 0.00170123 0.03209032 0.00626666 0.00999509]"
38,"[0.00138456 0.00097034 0.00120329 0.00214765 0.00137527 0.00134065
 0.00083859 0.00063883 0.00258329 0.00252939]","[1.99701583e-03 2.94067757e-03 6.73431898e-03 1.52887636e-03
 9.10122025e-05 1.39688415e-03 3.12160712e-05 7.74780648e-04
 2.28831151e-04 1.84573756e-03]","[0.01571749 0.00691358 0.00984639 0.02468194 0.01418179 0.01404319
 0.00612277 0.00488294 0.02555104 0.02724105]","[8.26369965e-03 3.08019320e-03 9.14906479e-03 6.91494422e-03
 1.25354271e-03 2.25230960e-05 6.00431240e-05 1.61212332e-03
 7.64890581e-04 1.56115035e-04]"
39,"[0.00135037 0.00090589 0.001185   0.00209407 0.00129973 0.00132536
 0.00083718 0.00059554 0.00264533 0.00262043]","[0.00187581 0.02504524 0.02179978 0.01610384 0.01321264 0.01088618
 0.00698733 0.00011256 0.0009832  0.00043042]","[0.01592401 0.00636879 0.00959791 0.02473459 0.01360445 0.01357803
 0.00600978 0.00491369 0.02537497 0.02712657]","[2.79658638e-06 2.48719438e-02 1.90882535e-02 4.80897648e-03
 2.43472690e-02 1.86289594e-02 4.57983585e-03 3.82130884e-04
 7.80777763e-03 4.73529249e-03]"
