DATASET,RFPCT_vs_PSt,RFPCT_vs_RFDTBR,RFPCT_vs_EBRJ48,RFPCT_vs_TREMLC,PSt_vs_RFDTBR,PSt_vs_EBRJ48,PSt_vs_TREMLC,RFDTBR_vs_EBRJ48,RFDTBR_vs_TREMLC,EBRJ48_vs_TREMLC
SLASHDOT,-0.02609867688800116,-0.015040226624799313,0.00823495149869824,0.11225182347658058,0.011058450263201847,0.0343336283866994,0.13835050036458174,0.023275178123497553,0.1272920501013799,0.10401687197788234
STACKEX_CHESS,0.05579632920343902,0.0012644298474604465,-0.00933431832152265,0.0008070459241501515,-0.054531899355978575,-0.06513064752496167,-0.05498928327928887,-0.010598748168983096,-0.000457383923310295,0.010141364245672801
STACKEX_CS,0.0071084123724168835,-0.001143207025771642,-0.017805535849336307,0.15320783471610855,-0.008251619398188526,-0.02491394822175319,0.14609942234369167,-0.016662328823564665,0.1543510417418802,0.17101337056544486
STACKEX_PHILOSOPHY,0.008058648231836996,-0.005701984433690299,-0.03885707174566155,0.15852737930179117,-0.013760632665527295,-0.04691571997749855,0.15046873106995418,-0.033155087311971254,0.16422936373548147,0.19738445104745272
TMC2007_500,0.00654174316362699,-0.006548293294584173,0.003971027723541742,0.0043445530866413895,-0.013090036458211163,-0.002570715440085247,-0.0021971900769856,0.010519321018125916,0.010892846381225563,0.0003735253630996471
VIRUSGO,0.009409409409409486,0.005425425425425456,0.003063063063063254,0.0011411411411412775,-0.00398398398398403,-0.006346346346346232,-0.008268268268268208,-0.0023623623623622025,-0.004284284284284179,-0.0019219219219219763
VIRUS_PSEAAC,0.0015215215215216293,0.015775775775775824,0.048828828828828885,0.02444444444444438,0.014254254254254195,0.047307307307307256,0.02292292292292275,0.03305305305305306,0.008668668668668555,-0.024384384384384505
WATER_QUALITY,0.05029035127149961,-0.0011344635028515127,0.027599178816197445,0.006552856142997943,-0.051424814774351124,-0.022691172455302167,-0.04373749512850167,0.028733642319048958,0.007687319645849455,-0.021046322673199502
YEAST,0.00864514726833876,-0.00041184176399944317,0.024777792188144465,0.0025030132215272394,-0.009056989032338203,0.016132644919805705,-0.00614213404681152,0.02518963395214391,0.0029148549855266825,-0.022274778966617226
YELP,0.058704079303350865,-0.009484327705622242,0.015163424543129245,-0.0034543394134501915,-0.0681884070089731,-0.04354065476022162,-0.062158418716801056,0.024647752248751487,0.0060299882921720505,-0.018617763956579436
