DATASET,CLR,Ada300,RFDTBR,CC,RSMLCC,VBS,VBS_value,SBS_CLR,SBS_Ada300,SBS_RFDTBR,SBS_CC,SBS_RSMLCC,AS-R-MO,AS-R-MO_algo_name,AS-R-SO,AS-R-SO_algo_name,AS-C-SO,AS-C-SO_algo_name,AS-PR-MO,AS-PR-MO_algo_name,AS-PR-SO,AS-PR-SO_algo_name,AS-PC-MO,AS-PC-MO_algo_name,AS-PC-SO,AS-PC-SO_algo_name,AS-CS-PC-SO,AS-CS-PC-SO_algo_name
SCENE,0.8004557973556783,0.7665085689626885,0.7714644495554338,0.7757945305889468,0.717533264157774,['CLR'],0.8004557973556783,0.0,0.0339472283929898,0.028991347800244482,0.024661266766731527,0.08292253319790432,0.0,CLR,0.024661266766731527,CC,0.028991347800244482,RFDTBR,0.0,CLR,0.08292253319790432,RSMLCC,0.01788420485565867,"CLR,CC,RFDTBR",0.028991347800244482,RFDTBR,0.028991347800244482,RFDTBR
SLASHDOT,0.3500089668670086,0.3559084004705884,0.3336171772558976,0.3590286044694468,0.3565869960860457,['CC'],0.3590286044694468,0.00901963760243818,0.003120203998858373,0.025411427213549165,0.0,0.0024416083834010727,0.00901963760243818,CLR,0.00901963760243818,CLR,0.00901963760243818,CLR,0.00901963760243818,CLR,0.00901963760243818,CLR,0.00901963760243818,CLR,0.00901963760243818,CLR,0.00901963760243818,CLR
STACKEX_CHESS,0.0742997416309655,0.1008267283538653,0.0681712276944707,0.0708658632662392,0.0627685846387299,['Ada300'],0.1008267283538653,0.026526986722899798,0.0,0.0326555006593946,0.029960865087626104,0.0380581437151354,0.0,Ada300,0.0,Ada300,0.0,Ada300,0.0,Ada300,0.0326555006593946,RFDTBR,0.0,Ada300,0.0,Ada300,0.0,Ada300
STACKEX_CS,0.1182464612863764,0.133986491084646,0.1216634420868242,0.0815415855469249,0.1079234827512093,['Ada300'],0.133986491084646,0.015740029798269592,0.0,0.0123230489978218,0.052444905537721104,0.026063008333436694,0.0,Ada300,0.015740029798269592,CLR,0.015740029798269592,CLR,0.0123230489978218,RFDTBR,0.0123230489978218,RFDTBR,0.015740029798269592,CLR,0.009354359598697126,"Ada300,CLR,RFDTBR",0.009354359598697126,"Ada300,CLR,RFDTBR"
STACKEX_PHILOSOPHY,0.0040117525320761,0.0833230808333263,0.0656801956512894,0.0648395175407317,0.0573773708212272,['Ada300'],0.0833230808333263,0.0793113283012502,0.0,0.01764288518203691,0.01848356329259461,0.025945710012099103,0.0793113283012502,CLR,0.0793113283012502,CLR,0.0,Ada300,0.0793113283012502,CLR,0.0793113283012502,CLR,0.0,Ada300,0.0,Ada300,0.0,Ada300
TMC2007_500,0.643782364625764,0.5673425360461503,0.6971343408788285,0.5587674114312018,0.5824057046107126,['RFDTBR'],0.6971343408788285,0.05335197625306454,0.12979180483267827,0.0,0.13836692944762674,0.11472863626811591,0.05335197625306454,CLR,0.05335197625306454,CLR,0.05335197625306454,CLR,0.05335197625306454,CLR,0.05335197625306454,CLR,0.05335197625306454,CLR,0.05335197625306454,CLR,0.05335197625306454,CLR
VIRUSGO,0.7203508297258298,0.8906709786142412,0.8362787212787213,0.9567886973098112,0.8042262245092434,['CC'],0.9567886973098112,0.23643786758398144,0.06611771869557004,0.12050997603108993,0.0,0.15256247280056778,0.23643786758398144,CLR,0.23643786758398144,CLR,0.23643786758398144,CLR,0.23643786758398144,CLR,0.23643786758398144,CLR,0.23643786758398144,CLR,0.1945001701922746,"CLR,RSMLCC",0.23643786758398144,CLR
VIRUS_PSEAAC,0.4999227213635707,0.317914653784219,0.3793505834601725,0.4022720199190788,0.432322838060543,['CLR'],0.4999227213635707,0.0,0.18200806757935167,0.12057213790339821,0.0976507014444919,0.06759988330302769,0.0976507014444919,CC,0.18200806757935167,Ada300,0.0976507014444919,CC,0.0976507014444919,CC,0.0976507014444919,CC,0.0976507014444919,CC,0.0976507014444919,CC,0.0976507014444919,CC
WATER_QUALITY,0.5205725365134243,0.474502255057135,0.5729893985077293,0.385302294863147,0.513591689819236,['RFDTBR'],0.5729893985077293,0.052416861994305064,0.09848714345059434,0.0,0.18768710364458235,0.05939770868849337,0.052416861994305064,CLR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.052416861994305064,CLR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR
YEAST,0.483231689739425,0.4001110489028825,0.41572041102809,0.3635451151694385,0.4065406612764562,['CLR'],0.483231689739425,0.0,0.08312064083654247,0.067511278711335,0.11968657456998649,0.07669102846296877,0.0,CLR,0.0,CLR,0.0,CLR,0.0,CLR,0.0,CLR,0.0,CLR,0.067511278711335,RFDTBR,0.067511278711335,RFDTBR
YELP,0.6294013108253421,0.6365434333059459,0.7697677368810033,0.7376804510385057,0.7014006369319372,['RFDTBR'],0.7697677368810033,0.1403664260556612,0.13322430357505743,0.0,0.03208728584249765,0.06836709994906609,0.0,RFDTBR,0.13322430357505743,Ada300,0.1403664260556612,CLR,0.1403664260556612,CLR,0.1403664260556612,CLR,0.0,RFDTBR,0.1403664260556612,CLR,0.1403664260556612,CLR
