fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
20,"[0.00022008 0.00067487 0.00037591 0.00077453 0.00138999 0.00029089
 0.00142959 0.00149151 0.00039326 0.00135489]","[3.35505897e-04 2.45314305e-06 9.16776714e-05 3.48085061e-03
 3.95336526e-04 7.64221147e-05 5.97769490e-03 1.24124043e-04
 3.29849007e-03 4.70233584e-03]","[0.00236869 0.00855302 0.004541   0.01085173 0.01763265 0.00397557
 0.02046198 0.01897866 0.00443683 0.01875826]","[1.59728380e-05 1.38890256e-04 1.46768360e-06 3.57967905e-03
 6.06617871e-05 2.71241309e-05 4.07388879e-03 1.68912936e-04
 5.12879275e-03 3.43618003e-03]"
21,"[0.00022376 0.00065434 0.00037781 0.00081361 0.0013932  0.0003062
 0.00151639 0.00144069 0.00043151 0.00134834]","[6.82667218e-04 6.44766881e-03 3.03510958e-04 3.64806338e-03
 2.93433215e-03 7.58002734e-05 1.17452194e-03 3.95336766e-03
 3.95937455e-04 1.84707705e-03]","[0.0023353  0.00841465 0.0045303  0.01093622 0.017597   0.00396981
 0.02049904 0.01890836 0.00436493 0.01881377]","[0.00135161 0.0056738  0.0004296  0.0002001  0.0014869  0.0002572
 0.00259182 0.00298093 0.00800492 0.00121608]"
22,"[0.00022737 0.00071406 0.00036304 0.00085689 0.00147807 0.00029101
 0.00157826 0.00151414 0.0004233  0.00139903]","[8.31889788e-04 1.03860538e-03 4.85271598e-04 1.71845308e-03
 1.14575579e-05 4.64253995e-05 1.59055710e-04 1.04009813e-04
 8.51343474e-05 3.77344135e-04]","[0.0023683  0.00850888 0.00453746 0.01060423 0.01759805 0.00397524
 0.02025875 0.0189578  0.00443379 0.01857304]","[3.17399722e-05 1.90468814e-03 1.43116995e-04 1.34799079e-02
 1.44467717e-03 4.00603879e-05 1.22034401e-02 1.00359588e-03
 5.25049110e-03 1.08451092e-02]"
23,"[0.00021698 0.00066041 0.00034309 0.00083351 0.00134889 0.00026955
 0.00148165 0.00139651 0.00042892 0.00137655]","[2.80790206e-04 2.08542340e-03 5.06370946e-04 5.71262964e-04
 8.35767312e-04 3.30152717e-05 5.10411969e-05 5.36559256e-04
 4.73729514e-04 1.95557985e-06]","[0.00233508 0.00855211 0.00453892 0.01093964 0.0176202  0.00395708
 0.02051357 0.01898248 0.00455381 0.01883681]","[1.36048583e-03 1.75545575e-04 8.45682905e-05 6.32789147e-05
 5.58632267e-04 7.66662016e-04 2.01058692e-03 1.64289117e-05
 4.49616648e-04 2.94153591e-04]"
24,"[0.00022719 0.00074375 0.00032797 0.00081695 0.00148568 0.00024383
 0.00151031 0.00146434 0.00038096 0.00133454]","[4.40980330e-05 1.22417843e-04 3.85577760e-03 9.93097178e-03
 1.95684558e-05 3.07517639e-03 1.12986050e-02 2.60412706e-03
 1.22585909e-02 2.61627937e-02]","[0.0023673  0.00854798 0.00431307 0.01067547 0.01761608 0.00378685
 0.02025272 0.01865831 0.0043859  0.01785817]","[7.14285633e-05 3.40472180e-04 9.11862295e-03 1.06302739e-02
 7.23794562e-04 7.57595098e-03 1.24444648e-02 1.29830914e-02
 7.16584790e-03 3.94398551e-02]"
25,"[0.00023916 0.00070003 0.00036361 0.00081233 0.00146474 0.00026999
 0.00154243 0.00149161 0.0004335  0.00142094]","[8.16830953e-03 1.98283096e-02 4.37498018e-03 2.27365409e-02
 5.34496167e-02 5.87338507e-04 5.81606097e-02 4.28310606e-02
 9.94682562e-05 4.70586427e-02]","[0.00187168 0.00727861 0.00438076 0.00963319 0.01426433 0.00388326
 0.01714515 0.01663959 0.00456487 0.01646012]","[1.98965629e-02 5.11155250e-02 6.41104031e-03 5.23213197e-02
 1.34793692e-01 3.71931716e-03 1.36747393e-01 9.37317413e-02
 7.02839585e-06 9.53620796e-02]"
26,"[0.00014336 0.00065881 0.00033758 0.00076928 0.00112518 0.00025003
 0.00125043 0.00138021 0.000415   0.00129693]","[0.0214371  0.03413279 0.00512654 0.02372533 0.10967009 0.00559717
 0.09026686 0.06571558 0.00094374 0.05090898]","[0.00120912 0.00554608 0.0041055  0.00825811 0.00972642 0.0038023
 0.01319239 0.0132468  0.00455563 0.01356346]","[0.04639871 0.12041655 0.01742176 0.10732453 0.31631005 0.00695758
 0.29485749 0.2294433  0.00037662 0.21122824]"
27,"[0.00022311 0.00060445 0.0003284  0.00074778 0.00132857 0.00024952
 0.00144451 0.00125417 0.0004116  0.00121206]","[0.00106582 0.02587563 0.01035091 0.01510368 0.01643835 0.01805969
 0.00814508 0.06895796 0.00144111 0.05046154]","[0.00217956 0.00558    0.00383275 0.00840697 0.01296595 0.00381121
 0.01645393 0.01239416 0.00454728 0.01292207]","[0.00758133 0.11905969 0.02833167 0.10137034 0.18672865 0.00660145
 0.16439612 0.26354918 0.00071093 0.23688392]"
28,"[0.00021537 0.00067308 0.00034685 0.00081318 0.00135495 0.00026878
 0.0014933  0.00141044 0.00040034 0.00138032]","[7.45580953e-07 5.32464290e-06 2.49334488e-04 1.05091499e-04
 1.00551717e-05 2.22811109e-04 8.81334959e-05 3.27532092e-04
 1.57726804e-04 3.06795736e-05]","[0.00236077 0.00855323 0.00453621 0.0108874  0.01761216 0.00397577
 0.02045935 0.01896685 0.00453448 0.01875328]","[3.32935579e-04 1.30599922e-04 1.93087261e-04 2.15288689e-03
 8.80579194e-04 1.89306627e-05 4.17907099e-03 6.41285553e-04
 1.22298342e-03 3.63546247e-03]"
29,"[0.0002111  0.00066189 0.00034398 0.00071728 0.00137484 0.00027632
 0.00137719 0.00137496 0.00040711 0.001229  ]","[5.57664567e-04 2.32081491e-03 4.60631133e-04 4.44764041e-04
 6.03189391e-04 2.03195770e-03 1.99847910e-03 4.84933346e-03
 4.79753861e-03 1.39046440e-07]","[0.00236062 0.00844531 0.00448618 0.01093579 0.01757588 0.00386982
 0.0205635  0.01866065 0.00449761 0.01874932]","[3.38669089e-04 4.44729899e-03 2.19424478e-03 2.17590582e-04
 2.33145168e-03 4.25700538e-03 1.33371934e-05 1.28892514e-02
 2.69746448e-03 3.79378616e-03]"
