,DATASET,METHOD,LABEL RANKING AVERAGE PRECISION,RECALL example based,PRECISION example based,MICRO RECALL,COVARAGE,MACRO F1,ONE ERROR,AUCROC MICRO,testTime,trainTime,F1 example based,AUPRC MICRO,SUBSET ACCURACY,MACRO RECALL,HAMMING LOSS example based,MICRO PRECISION,ACCURACY example-based,MACRO PRECISION,LABEL RANKING LOSS,MICRO F1
10,ABPM,ECCJ48,0.9762860082304529,0.9621399176954732,0.9578189300411524,0.9566563467492261,4.172839506172839,0.8790260542472933,0.0,0.9665900586905735,0.6399329900741577,1.0978524684906006,0.9544973544973545,0.971579645223132,0.691358024691358,0.8716931216931217,0.05761316872427984,0.9566563467492261,0.9220164609053498,0.888628534807338,0.04399862825788752,0.9566563467492261
11,ABPM,EPS,0.9632887517146778,0.9380658436213992,0.9405349794238683,0.934984520123839,4.209876543209877,0.8215851468063856,0.07407407407407407,0.9480901821497083,0.609682559967041,0.8110151290893555,0.9327338642153458,0.9563101878606951,0.5802469135802469,0.8219019771651351,0.08436213991769548,0.937888198757764,0.8876543209876544,0.8220319316810545,0.060219478737997253,0.9364341085271318
12,ABPM,HOMER,0.9328017832647462,0.9506172839506173,0.8825102880658436,0.9473684210526315,4.54320987654321,0.7652541571653266,0.13580246913580252,0.8948223138141276,0.7039237022399902,1.0082879066467285,0.9059946911798764,0.912529415202264,0.4691358024691358,0.797381184442588,0.12139917695473251,0.8793103448275862,0.8458847736625514,0.7373668474207445,0.123559670781893,0.9120715350223546
13,ABPM,LP,0.8691289437585733,0.8808641975308641,0.8810699588477365,0.8854489164086687,4.91358024691358,0.8026054660841938,0.0,0.8292275256889969,1.3766894340515137,3.1932451725006104,0.8709627135553063,0.860151470812084,0.4444444444444444,0.8347593520839135,0.1522633744855967,0.8854489164086687,0.8024691358024691,0.7955463301748131,0.2776406035665295,0.8854489164086686
14,ABPM,MBR,0.9252297668038408,0.889506172839506,0.902469135802469,0.8854489164086687,4.679012345679013,0.8235123473102554,0.024691358024691357,0.8737108017246293,0.714691162109375,1.3490197658538818,0.883502574243315,0.9012094642407265,0.3950617283950617,0.8939582753179245,0.14609053497942387,0.89375,0.811522633744856,0.8215514938846878,0.1986625514403292,0.8895800933125972
15,ABPM,MLARM,0.8535699588477367,0.8662551440329217,0.8520576131687241,0.8668730650154799,4.938271604938271,0.7151641297339725,0.2592592592592593,0.7952952572698437,0.007198333740234375,0.022471904754638672,0.8480492758270536,0.8307851469733976,0.25925925925925924,0.7274436090225564,0.18930041152263374,0.851063829787234,0.7557613168724279,0.7269318649839062,0.2883744855967078,0.8588957055214724
16,ABPM,MLkNN,0.9515294924554185,0.875514403292181,0.8897119341563785,0.8730650154798761,4.62962962962963,0.7795171197470047,0.0,0.887861117969952,0.026978015899658203,0.18582892417907715,0.8692382377567563,0.9380150848159721,0.32098765432098764,0.7623004269934094,0.15843621399176955,0.8867924528301887,0.7884773662551441,0.8186616010062338,0.10198902606310013,0.8798751950078003
17,ABPM,MLTSVM,0.6646090534979422,1.0,0.6646090534979423,1.0,6.0,0.7478394320575265,0.33333333333333337,0.5,5.412101745605469e-05,0.3083953857421875,0.7885895997007109,0.6646090534979424,0.024691358024691357,1.0,0.33539094650205764,0.6646090534979424,0.6646090534979423,0.6646090534979423,0.9753086419753086,0.7985166872682323
18,ABPM,PCT,0.9781893004115226,0.8886831275720165,0.9549382716049382,0.8947368421052632,4.283950617283951,0.7668508628733101,0.0,0.9543011263271857,0.0,0.083,0.9041829227014412,0.9744516155684395,0.5061728395061729,0.753866146848603,0.10493827160493827,0.9444444444444444,0.8436213991769549,0.7812785933086684,0.04375857338820301,0.918918918918919
19,ABPM,PSt,0.9677537722908095,0.894238683127572,0.9032921810699589,0.891640866873065,4.3580246913580245,0.8050380465970046,0.0,0.9308723812418089,1.0903629064559937,2.040026903152466,0.8881923289330699,0.9600645336362117,0.41975308641975306,0.8096514434233734,0.13786008230452676,0.9,0.8174897119341564,0.8048639468748416,0.06121399176954733,0.895800933125972
