DATASET,DEEP4,RFPCT,CC,Ada300,TREMLC,VBS,VBS_value,SBS_DEEP4,SBS_RFPCT,SBS_CC,SBS_Ada300,SBS_TREMLC,AS-R-MO,AS-R-MO_algo_name,AS-R-SO,AS-R-SO_algo_name,AS-C-SO,AS-C-SO_algo_name,AS-PR-MO,AS-PR-MO_algo_name,AS-PR-SO,AS-PR-SO_algo_name,AS-PC-MO,AS-PC-MO_algo_name,AS-PC-SO,AS-PC-SO_algo_name,AS-CS-PC-SO,AS-CS-PC-SO_algo_name
GENBASE,0.963089802130898,0.0019025875190258,0.0017757483510908,0.0013952308472856,0.0029173008625063,['Ada300'],0.0013952308472856,0.9616945712836125,0.0005073566717402,0.00038051750380519995,0.0,0.0015220700152207,0.0015220700152207,TREMLC,0.0015220700152207,TREMLC,0.0015220700152207,TREMLC,0.0015220700152207,TREMLC,0.0,Ada300,0.0015220700152207,TREMLC,0.0015220700152207,TREMLC,0.0015220700152207,TREMLC
GNEGATIVEGO,0.0136165577342047,0.0122549019607843,0.0130718954248366,0.0152505446623093,0.0029173008625063,['TREMLC'],0.0029173008625063,0.0106992568716984,0.009337601098278,0.0101545945623303,0.012333243799803,0.0,0.0101545945623303,CC,0.0101545945623303,CC,0.0101545945623303,CC,0.0101545945623303,CC,0.007495946120711099,"CC,Ada300,TREMLC",0.0101545945623303,CC,0.0101545945623303,CC,0.0101545945623303,CC
GNEGATIVEPSEACC,0.1595860566448801,0.0950435729847494,0.0789760348583878,0.0795206971677559,0.0898692810457516,['CC'],0.0789760348583878,0.08061002178649229,0.016067538126361594,0.0,0.000544662309368088,0.0108932461873638,0.0,CC,0.000544662309368088,Ada300,0.0108932461873638,TREMLC,0.0,CC,0.0108932461873638,TREMLC,0.0,CC,0.0,CC,0.005446623093681907,"CC,TREMLC"
GPOSITIVEGO,0.0394736842105263,0.0423976608187134,0.0350877192982456,0.0219298245614035,0.1900584795321637,['Ada300'],0.0219298245614035,0.0175438596491228,0.0204678362573099,0.013157894736842098,0.0,0.1681286549707602,0.013157894736842098,CC,0.0204678362573099,RFPCT,0.013157894736842098,CC,0.013157894736842098,CC,0.013157894736842098,CC,0.013157894736842098,CC,0.013157894736842098,CC,0.013157894736842098,CC
GPOSITIVEPSEAAC,0.3245614035087719,0.1695906432748538,0.1578947368421052,0.1885964912280701,0.2646198830409357,['CC'],0.1578947368421052,0.16666666666666669,0.011695906432748593,0.0,0.030701754385964897,0.1067251461988305,0.0,CC,0.030701754385964897,Ada300,0.030701754385964897,Ada300,0.030701754385964897,Ada300,0.0,CC,0.030701754385964897,Ada300,0.030701754385964897,Ada300,0.030701754385964897,Ada300
HUMANGO,0.0417829241071428,0.0374581473214285,0.0378069196428571,0.0445731026785714,0.0373186383928571,['TREMLC'],0.0373186383928571,0.004464285714285698,0.00013950892857139685,0.00048828125,0.007254464285714295,0.0,0.0,TREMLC,0.0,TREMLC,0.007254464285714295,Ada300,0.007254464285714295,Ada300,0.007254464285714295,Ada300,0.0,TREMLC,0.0,TREMLC,0.00013950892857139685,RFPCT
HUMANPSEAAC,0.1100027901785714,0.0982840401785714,0.0918666294642857,0.0848911830357142,0.0966099330357142,['Ada300'],0.0848911830357142,0.025111607142857192,0.013392857142857192,0.006975446428571494,0.0,0.01171875,0.0,Ada300,0.0,Ada300,0.01171875,TREMLC,0.006975446428571494,CC,0.006975446428571494,CC,0.01171875,TREMLC,0.006975446428571494,CC,0.006975446428571494,CC
LANGLOG,0.0161967213114754,0.0210710382513661,0.0166775956284153,0.0211803278688524,0.0293989071038251,['DEEP4'],0.0161967213114754,0.0,0.0048743169398907,0.0004808743169399006,0.004983606557377,0.013202185792349701,0.004983606557377,Ada300,0.004983606557377,Ada300,0.0004808743169399006,CC,0.004983606557377,Ada300,0.0024918032786885,"DEEP4,Ada300",0.0004808743169399006,CC,0.004983606557377,Ada300,0.004983606557377,Ada300
MEDICAL,0.0152910052910052,0.012010582010582,0.0139153439153439,0.0105291005291005,0.0146031746031746,['Ada300'],0.0105291005291005,0.0047619047619047,0.0014814814814814985,0.003386243386243399,0.0,0.0040740740740741,0.0014814814814814985,RFPCT,0.0,Ada300,0.0040740740740741,TREMLC,0.0014814814814814985,RFPCT,0.0,Ada300,0.0,Ada300,0.0,Ada300,0.0,Ada300
NG20,0.0403354838709677,0.0328774193548387,0.0302129032258064,0.029574193548387,0.0303419354838709,['Ada300'],0.029574193548387,0.010761290322580698,0.003303225806451697,0.0006387096774193995,0.0,0.0007677419354838975,0.0,Ada300,0.003303225806451697,RFPCT,0.0006387096774193995,CC,0.0,Ada300,0.0006387096774193995,CC,0.0,Ada300,0.0006387096774193995,CC,0.0006387096774193995,CC
OHSUMED,0.0636857000684207,0.0669512346830876,0.0576600111961186,0.0630014928158238,0.0621384586676618,['CC'],0.0576600111961186,0.0060256888723021,0.009291223486969001,0.0,0.005341481619705206,0.004478447471543204,0.009291223486969001,RFPCT,0.004478447471543204,TREMLC,0.004478447471543204,TREMLC,0.009291223486969001,RFPCT,0.0,CC,0.004589890319504061,"RFPCT,CC,TREMLC",0.0,CC,0.0,CC
PLANTGO,0.045807453416149,0.0359730848861283,0.0403726708074534,0.0385610766045548,0.0380434782608695,['RFPCT'],0.0359730848861283,0.009834368530020704,0.0,0.004399585921325104,0.0025879917184265036,0.0020703933747412,0.004399585921325104,CC,0.0020703933747412,TREMLC,0.0020703933747412,TREMLC,0.004399585921325104,CC,0.0025879917184265036,Ada300,0.003493788819875804,"CC,Ada300",0.0032349896480331486,"TREMLC,CC",0.009834368530020704,DEEP4
PLANTPSEAAC,0.0887681159420289,0.1229296066252588,0.0934265010351966,0.0900621118012422,0.1105072463768116,['DEEP4'],0.0887681159420289,0.0,0.034161490683229906,0.004658385093167711,0.0012939958592133038,0.021739130434782705,0.0012939958592133038,Ada300,0.0012939958592133038,Ada300,0.004658385093167711,CC,0.004658385093167711,CC,0.0012939958592133038,Ada300,0.034161490683229906,RFPCT,0.013198757763975208,"CC,TREMLC",0.013198757763975208,"CC,TREMLC"
